"Area Lead","Team","Org.Name","Active","IMS No.","Gaps","SAP Vendor No","Entity Type","Email","Address1","Add2","Add3","Add4","Add5","Postcode","CEO Title","CEO Name","Regulated?","Viability Score","Gov. Score","ID no.","Status","notes"
"Janet Trench","North East","Industrial Dwellings","Yes","L0266",,,,"housing@ids.org.uk ","1st Floor Anna House","214 – 218 High Road",,"London",,"N15 4NP","Mr","Paul Westbrook","Y","V1","G1",,,
"Peter Fletcher ","North West","Innisfree Housing Association Limited","No","LH3829",,,,"John.Delahunty@innisfree.org.uk","Anna House",,,,,"NW6 2HL","Mr","John Delahunty","Y","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Inquilab Housing Association Limited","Yes","LH3728",,18000060,,"Ginaa@inquilabha.org","Somerville House","50a Bath Rd","Hounslow","Middlesex",,"TW3 3EE","Ms","Gina Amoh","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Nacro Community Enterprises Ltd","Yes","H2030","Yes",,,,"46 Loman Street",,,,,"SE1 0EH","Ms","Carol Matthews","N","#N/A","#N/A",,,"Unknown"
"Richard Cawser","Peter Fletcher","Irish Centre Housing Limited (now Sapphire Independent Housing Limited)","Yes","H1313",,18000004,,"Tricia.Durkan@sih.org","1 Holmes Rd",,,,,"NW5 3AA","MS","Tricia Durkan","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Isleworth & Hounslow (URB","No","NP0367",,,,"mary.harpley@hounslow.gov.uk","Civic Centre","Lampton Road",,,,"TW3 4DN","Ms","Mary Harpley","N","#N/A","#N/A",,,
"Janet Trench ","North East","Islington and Shoreditch Housing Association Ltd","Yes","L0457",,18000019,"RP","claret@isha.co.uk","102 Blackstock Road","London",,,,"N4 2DR","Ms","Clare Thomson","Y","V1","G1",,,
"Wren Laing","North West","Islington Council","Yes","NP0261",,18000094,"Borough","lesley.seary@islington.gov.uk","222 Upper Street",,,"London",,"N1 1XR","Ms","Lesley Seary ","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Isos Housing Limited","Yes","L4448",,,,"keith.loraine@isoshousing.co.uk ","Number Five, Gosforth Park Avenue","Gosforth Business Park",,"Newcastle upon Tyne",,"NE12 8EG","Mr","Keith Loraine,","N","#N/A","#N/A",,,
"Richard Cawser","North West","Jewish Community Housing Association Limited","Yes","LH0902",,,,"ASamuelson@jliving.org.uk","Harmony Close","Princes Park Avenue"," London ",,,"NW11 0JJ","Mr","Albert Samuelson","Y","#N/A","#N/A",,,
"Janet Trench ","North East","New Swift Co-Op","Yes","C2548","Yes",,,,"12 pine grove","london","London",,,"N4 3LL",,"n/k","Y","#N/A","#N/A",,,"n/k"
"Heather Juman / Inez Hough ","South","Kaleidoscope (Kingston) Housing Association Ltd","No","LH0117",,,,"herbie.hancock@kaleidoscopeproject.org.uk","40 - 46 Cromwell Road",,,,,,"Mr","David Montague","Y","N/A","N/A",,,
"Peter Fletcher","North West","Kelsey Housing Association Limited","No","L1561",,,,"darrell.mercer@a2dominion.co.uk ","The Point","37 North Wharf Road","London",,,"W2 1BD","Mr","Darrell Mercer","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","Keniston Housing Association Limited","No","L1965",,18000120,,"jonathancard@kenistonha.co.uk","13 Artington Close","Farnborough","Orpington","Kent",,"BR6 7UL","Mr","Jonathan Card","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Kensington Housing Trust","Yes","L0265",,,,"rod.cahill@chg.org.uk","26-30 Uxbridge Road","London",,,,"W5 2AU","Mr ","Rod Cahill","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Kingston Upon Thames","Yes","NP0324",,,,"darren.welsh@kingston.gov.uk","Guildhall","Kingston upon Thames","Surrey ",,,"KT1 1EU","Mr","Darren Welsh","N","#N/A","#N/A",,,
"Rickardo Hyatt","South","Oak Housing","Yes",4720,"Yes",18000231,,"info@oakhousing.org","840A–842a High Road Leyton",,,"London",,"E10 6AE",,,"N","#REF!","#REF!",,,
"Peter Fletcher","North West","L B Ealing","No","NP0267",,,"Borough","paul.najsarek@ealing.gov.uk","Perceval House, ",,,,,"W5 2HL","Mr","Paul  Najsarek","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","L B Southwark","Yes","NP0270",,18000098,"Borough","eleanor.kelly@southwark.gov.uk","160 Tooley Street ","London  ",,,,"SE1 2TZ","Ms","Eleanor Kelly","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","L&Q Threshold Homes Limited","No","L0158",,,,"dmontague@lqgroup.org.uk","One King Hall Mews","Lewisham","London",,,"E15 1BJ","Mr","David Montague","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","L.B. Croydon SWLHP","Yes","NP1264",,18000093,"Borough","nathan.elvery@croydon.gov.uk ","Bernard Weatherill House","8 Mint Walk",," Croydon",,"CR0 1EA","Mr","Nathan Elvery","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","L.B. Southwark SELHP","No","NP0803",,18000098,"Borough","eleanor.kelly@southwark.gov.uk","160 Tooley Street ","London  ",,,,"SE1 2TZ","Ms","Eleanor Kelly","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Lambeth & Southwark Housing Association Limited","Yes","L0927",,18000186,,"Mark.Jackson@lsha.org.uk","7a St Agnes Place ","London ",,,,"SE11 4AU","Mr","Mark Jackson","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","LB Bexley","Yes","NP0473",,18000181,"Borough","gill.steward@bexley.gov.uk","2 Watling Street","Bexleyheath",,"Kent",,"DA6 7AT","Ms","Gill  Steward","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","LB Bromley","Yes","NP1119",,18000171,"Borough","doug.patterson@bromley.gov.uk","London Borough of Bromley","Civic Centre","Stockwell Close ","Bromley",,"BR1 3UH","Mr","Doug Patterson","N","#N/A","#N/A",,,
"Peter Fletcher","North West","LB Camden (URB)","No","NP0308",,18000104,"Borough","mike.cooke@camden.gov.uk","5 Pancras Square",,,,"London","N1C 4AG","Mr","Mike Cooke","N","#N/A","#N/A",,,
"Janet Trench","North East","LB Hackney (URB)","Yes","NP0264",,18000096,"Borough","tim.shields@hackney.gov.uk","Christopher Addison house","72 Wilton Way","London",,,"E8 1BJ","Mr","Tim Shields","N","#N/A","#N/A",,,
"Peter Fletcher","North West","LB Hounslow (URB)","No","NP0306",,,"Borough","mary.harpley@hounslow.gov.uk","Civic Centre","Lampton Road",,,"Hounslow","TW3 4DN","Ms","Mary Harpley","N","#N/A","#N/A",,,
"Peter Fletcher","North West","LB Hounslow WLP","No","NP0806",,18000103,"Borough","mary.harpley@hounslow.gov.uk","Civic Centre","Lampton Road",,,"Hounslow","TW3 4DN","Ms","Mary Harpley","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","LB Merton","Yes","NP0804",,18000207,"Borough","ged.curran@merton.gov.uk","Civic Centre London Road","Morden","London",,,"SM4 5DX","Mr","Ged Curran","N","#N/A","#N/A",,,
"Neil Hook","North East","LB Newham (URB)","Yes","NP0299",,,"Borough","kim.bromley-derry@newham.gov.uk","Newham Dockside","1000 Dockside",,"London",,"E16 2QU","Mr","Kim Bromley-Derry","N","#N/A","#N/A",,,
"Marianne Danielewicz","North East","LB of Barking & Dagenham","Yes","NP0286",,,"Borough","Chris.Naylor@lbbd.gov.uk","Barking Town Hall","1 Town Hall Square","Barking","Essex",,"IG11 7LU","Mr","Chris Naylor","N","#N/A","#N/A",,,
"Peter Fletcher","North West","LB of Hillingdon ","No","NP0215",,18000089,"Borough","fbeasley@hillingdon.gov.uk","Civic Centre","Uxbridge",,,,"UB8 1UW","Ms","Fran Beasley","N","#N/A","#N/A",,,
"Neil Hook","North East","LB Waltham Forest (URB)","Yes","NP0263",,,"Borough","martin.esom@walthamforest.gov.uk","Waltham Forest Town Hall","Forest Road",,"London",,"E17 4JE","Mr","Martin  Esom","N","#N/A","#N/A",,,
"Rickardo Hyatt","South","LB Wandsworth (URB)","No","NP0250",,18000092,"Borough","Pmartin@wandsworth.gov.uk","Town Hall","Wandsworth High Street","London",,,"SW18 2PU","Mr","Paul Martin","N","#N/A","#N/A",,,
"Neil Hook","North East","Lee Housing Association Limited","Yes","L0456",,,,"karen.wilson@origingroup.org.uk ","St Richards House","110 Eversholt St",,,"London","NW1 1BS","Ms","Karen Wilson","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Leicester Housing Association Limited","Yes","L0409",,18000017,,"matt.cooney@asra.org.uk","3 Bede Island Road",,,"Leicester",,"LE2 7EA","Mr","Matt Cooney","Y","#N/A","#N/A",,,
"#N/A","#N/A","Lewisham Family Co-Op","Yes","C2313",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Neil Hook","North East","Local Space Limited","Yes","LH4454",,,,"JitinderT@localspace.co.uk","58 Romford Road",,,"London",,"E15 4BZ","Mr","Jitinder Takhar ","Y","V1","G2",,,
"Heather Juman / Inez Hough ","South","Oasis Aquila Housing","Yes","NP1559","Yes",,,"Jen.Gauden-Hand@oasisuk.org","11 Walker Terrace","Gateshead","Tyne & Wear",,,"NE8 1EB",,,"Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","London & Quadrant Housing","Yes","L4517",,18000045,,"dmontague@lqgroup.org.uk","One King’s Hall Mews","Lewisham ","London",,,"SE13 5JQ","Mr","David Montague","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","London & Quadrant Housing Trust","No","LH0115",,,,"dmontague@lqgroup.org.uk","One King’s Hall Mews","Lewisham ","London",,,"SE13 5JQ","Mr","David Montague","N","#N/A","#N/A",,,
"Marianne Danielewicz","North East","London Borough of Barking and Dagenham","Yes","00AB",,18000101,"Borough","Chris.Naylor@lbbd.gov.uk","Barking Town Hall","1 Town Hall Square","Barking","Essex",,"IG11 7LU","Mr","Chris Naylor","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","London Borough of Brent","Yes","00AE",,18000176,"Borough","chief.executive@brent.gov.uk","Brent Civic Centre","Engineers Way","Wembley",,,"HA9 0FJ","Ms","Carolyn Downs CBE","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","London Borough of Camden Council","No","00AG",,18000104,"Borough","mike.cooke@camden.gov.uk","5 Pancras Square",,,,"London","N1C 4AG","Mr","Mike Cooke","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","London Borough of Croydon","Yes","00AH",,18000093,"Borough","jo.negrini@croydon.gov.uk ","Bernard Weatherill House","8 Mint Walk",," Croydon",,"CR0 1EA","Ms","Jo Negrini","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","London Borough of Ealing","Yes","00AJ",,18000097,"Borough","paul.najsarek@ealing.gov.uk","Perceval House","14/16 Uxbridge Road","Ealing",,"London"," W5 2HL","Mr","Paul  Najsarek","Y","#N/A","#N/A",,,
"Robert Elvin","North East","London Borough of Enfield","Yes","00AK",,18000161,"Borough","chief.executive@enfield.gov.uk","Civic Centre","Silver Street","London",,,"EN1 3XA","Mr","Rob Leak","Y","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","London Borough of Greenwich","Yes","00AL",,18000088,"Borough","john.comber@royalgreenwich.gov.uk","The Woolwich Centre","35 Wellington Street","London",,,"SE18 6HQ","Mr","John Comber","Y","#N/A","#N/A",,,
"Janet Trench","North East","London Borough of Hackney","Yes","00AM",,18000096,"Borough","tim.shields@hackney.gov.uk","Christopher Addison house","72 Wilton Way","London",,,"E8 1BJ","Mr","Tim Shields","Y","#N/A","#N/A",,,
"Andrew Williams","North West","London Borough of Hammersmith and Fulham","Yes","00AN",,,"Borough","nigel.pallace@lbhf.gov.uk","Town Hall","King St","London",,,"W6 9JU","Mr","Nigel Pallace","Y","#N/A","#N/A",,,
"Richard Cawser","North West","London Borough of Harrow","Yes","00AQ",,18000202,"Borough","Michael.Lockwood@harrow.gov.uk","Civic Centre","Station Rd","Harrow",,,"HA1 2XY","Mr","Michael  Lockwood","Y","#N/A","#N/A",,,
"Marianne Danielewicz","North East","London Borough of Havering","Yes","NP0314",,,"Borough","Andrew.BlakeHerbert@havering.gov.uk","Mercury House","Mercury Gardens","Romford",,,"RM1 3SL","Ms","Andrew Blake-Herbert","N","#N/A","#N/A",,,
"Marianne Danielewicz","North East","London Borough of Havering Council","Yes","00AR",,18000147,"Borough","Andrew.BlakeHerbert@havering.gov.uk","Mercury House","Mercury Gardens","Romford",,,"RM1 3SL","Ms","Andrew Blake-Herbert","Y","#N/A","#N/A",,,
"Maja Luna Jorgenson","North West","London Borough of Hillingdon","Yes","00AS",,,"Borough","fbeasley@hillingdon.gov.uk","Civic Centre","High St","Uxbridge",,,"UB8 1UW","Ms","Fran Beasley","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","London Borough of Hounslow","Yes","00AT",,18000103,"Borough","mary.harpley@hounslow.gov.uk","Civic Centre","Lampton Road",,,"Hounslow","TW3 4DN","Ms","Mary Harpley","Y","#N/A","#N/A",,,
"Wren Laing","North West","London Borough of Islington","Yes","00AU",,18000094,"Borough","lesley.seary@islington.gov.uk","222 Upper Street",,,"London",,"N1 1XR","Ms","Lesley Seary ","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","London Borough of Lambeth","Yes","00AY",,18000149,"Borough","sharriss@lambeth.gov.uk","Olive Morris House","18 Brixton Hill",,"London",,"SW2 1RD","Mr","Sean Harriss","Y","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","London Borough of Lewisham","Yes","00AZ",,18000150,"Borough","barry.quirk@lewisham.gov.uk","Laurence House","1 Catford Road",,,,"SE6 4RU","Mr","Barry Quirk CBE","Y","#N/A","#N/A",,,
"Neil Hook","North East","London Borough of Newham","Yes","00BB",,18000102,"Borough","kim.bromley-derry@newham.gov.uk","Newham Dockside","1000 Dockside",,"London",,"E16 2QU","Mr","Kim Bromley-Derry","Y","#N/A","#N/A",,,
"Janet Trench ","North East","London Borough of Redbridge","Yes","00BC",,18000151,"Borough","andy.donald@redbridge.gov.uk","Town Hall","128-142 High Road","Ilford",,,"IG1 1DD","Mr","Andy Donald","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","London Borough of Sutton","Yes","00BF",,18000152,"Borough","niall.bolger@sutton.gov.uk","Civic Offices","St. Nicholas Way","Sutton",,,"SM1 1EA","Mr","Niall Bolger","Y","#N/A","#N/A",,,
"Ray Everingham","North East","London Borough of Tower Hamlets","Yes","00BG",,18000091,"Borough","will.tuckley@towerhamlets.gov.uk","Town Hall","Mulberry Place","5 Clove Crescent",,"London","E14 2BG","Mr","Will Tuckley","Y","#N/A","#N/A",,,
"Neil Hook","North East","London Borough of Waltham Forest","Yes","00BH",,18000095,"Borough","martin.esom@walthamforest.gov.uk","Waltham Forest Town Hall","Forest Road",,"London",,"E17 4JE","Mr","Martin  Esom","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","London Borough of Wandsworth","Yes","00BJ",,18000092,"Borough","Pmartin@wandsworth.gov.uk","Town Hall","Wandsworth High Street","London",,,"SW18 2PU","Mr","Paul Martin","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Otto Schiff Housing Association","Yes","LH1836","Yes",,,,"Amelie House","Maurice and Vivienne Wohl Campus","221 Golders Green Road","London",,"NW11 9DQ",,,"Y","#N/A","#N/A",,,
"Janet Trench ","North East","Look Ahead Care and Support Ltd","Yes","LH0013",,,"Registered Provider","lisabradley@lookahead.org.uk","Kings Buildings","16 Smith Square","London",,,"SW1P 3HQ","Mr","Chris Hampson","Y","V1","G1",,,
"TBC","South","Quo Vadis Trust","Yes","NP2223","Yes",,,,"12a Gardner Industrial Estate","Kent House Lane","Beckenham","Kent",,"BR3 1QZ","Mr","Stephen Milford-Kemp","Y","#N/A","#N/A",,,
"Robert Elvin","North East","Major Housing Association Ltd","Yes",4637,,18000206,,"sandeep.singh@majorha.com","213 Barking Road","Canning Town ","London",,,"E16 4HH","Mr","Sandeep Singh","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","May Day Permanent Housing Co-operative Limited","Yes","C3557",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Ray Everingham","North East","Merton Priory Homes","Yes","L4548",,,,"mark.rogers@circle.org.uk","Two Pancras Square","King's Cross",,,"London","N1C 4AG","Mr","Mark Rogers","Y","#N/A","#N/A",,,
"Janet Trench","North East","Metropolitan Housing Trust Limited","Yes","L0726",,18000024,,"'Brian.Johnson@metropolitan.org.uk'","The Grange ","100 High Street ","Southgate","London ",,"N14 6PW","Mr","Brian Johnson","Y","V2","G1",,,
"Janet Trench","North East","Metropolitan Support Trust","Yes","LH3741",,,,"'Brian.Johnson@metropolitan.org.uk'","The Grange ","100 High Street ","Southgate","London ",,"N14 6PW","Mr","Brian Johnson","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Midland Heart Limited","No","L4466",,,,"contact@midlandheart.org.uk","20 Bath Row",,,,"Birmingham ","B15 1LZ","Ms","Ruth Cooke","Y","V1","G1",,,
"Peter Fletcher ","North West","Mill Asset Group","No","IMSX3",,,,"simon.phillips@millgroup.co.uk","Alhambra House ","27-31 Charing Cross Rd ",,,"London","WC2H 0AU","Mr","Simon Phillips","N","#N/A","#N/A",,,
"Rickardo Hyatt","South","Moat Homes Limited","Yes","L0386",,18000016,,"elizabeth.austerberry@moat.co.uk","Mariner House","Galleon Boulevard","Crossways","Dartford",,"DA2 6QE","Ms","Elizabeth Austerberry","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Raglan Housing Association Limited","Yes","L1556","Yes",,,,"Unit 1, Ground Floor","Peveril Court","6-8 London Road","Crawley",,"RH10 8JE","Mr","Bob Strachan","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Rushmon Homes ","Yes","NP0167","Yes",,,,"Munro House","Portsmouth Road","Cobham","Surrey",,"KT11 1PA",,,"Y","#N/A","#N/A",,,"Unknown"
"Richard Cawser","North West","Network Housing Group Limited","Yes","L4373",,18000041,,"helen.evans@networkhomes.org.uk","Olympic Office Centre","8 Fulton Road","Middlesex",,,"HA9 0NU","Ms","Helen Evans","Y","V1","G1",,,
"Richard Cawser","North West","Network Stadium Housing Association Limited","Yes","L0525",,,,"helen.evans@networkhomes.org.uk","Olympic Office Centre","8 Fulton Road","Middlesex",,,"HA9 0NU","Ms","Helen Evans","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","South London YMCA","Yes","H4400","Yes",,,,"King George's House","40 Stockwell Road","London",,,"SW9 9ES",,,"N","#N/A","#N/A",,,
"Neil Hook","North East","Newlon Housing Trust","Yes","L0006",,18000008,,"mike.hinch@newlon.org.uk","Newlon House","4 Daneland Walk","Hale Village","London",,"N17 4JF","Mr","Mike Hinch","Y","V1","G1",,,
"Peter Fletcher","North West","North Camden Co-Op","No","C3024",,,,"office@nchc.org.uk","Unit 33 Bickerton House","25 Bickerton Road",,,"London","N19 5JT",,,"Y","#N/A","#N/A",,,
"Janet Trench ","North East","North London Muslim Housing Association Limited","Yes","LH3859",,,,"aziz@nlmha.com","15b-15c Urban Hive","Theydon Road","Upper Clapton","London",,"E5 9BQ","Mr","Aziz Rahman","Y","#N/A","#N/A",,,
"Janet Trench","North East","Norton Folgate Almshouse","Yes","NP0369",,,,"mark.truman@thch.org.uk","12 Boytons","Basildon",,,"Essex","SS15 5HS","Mr","Mark Truman","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Notting Hill Home Ownership Limited","Yes","SL3119",,,,"KDavies@nhhg.org.uk","Bruce Kenrick House","2 Killick Street","London",,,"N1 9FL","Ms","Kate Davies","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Notting Hill Housing Trust","Yes","L0035",,18000010,,"KDavies@nhhg.org.uk","Bruce Kenrick House","2 Killick Street","London",,,"N1 9FL","Ms","Kate Davies","Y","V1","G1",,,
"Neil Hook","North East","Southern Space [NP0175]","Yes","NP0175","Yes",18000129,,"tom.dacey@shgroup.org.uk ","Fleet House","59-61 Clerkenwell Road",,"London",,"EC1M 5LA",,,"Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Southwark Council","Yes","00BE","Yes",18000098,"Borough","eleanor.kelly@southwark.gov.uk ","160 Tooley Street ","London  ",,,,"SE1 2TZ",,,"Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Octavia Housing","Yes","L0717",,18000023,,"grahame.hindes@octaviahousing.org.uk ","Emily House","202-208 Kensal Road",,,"London","W10 5BN","Mr","Grahame Hindes","Y","V1","G1",,,
"Peter Fletcher","North West","Odu-Dua Housing Association Limited","Yes","L3757",,,,"nayre@odu-dua.org","84–88 Kingsgate Road","West Hampstead",,,"London","NW6 4LA","Mr","Neil Ayre (interim)","Y","#N/A","#N/A",,,
"Ray Everingham","North East","Old Ford Housing Association","Yes","L4221",,,,"mark.rogers@circle.org.uk","Two Pancras Square","King's Cross",,,"London","N1C 4AG","Mr","Mark Rogers","Y","#N/A","#N/A",,,
"Janet Trench","North East","One Housing Group Limited","Yes","LH0171",,18000050,,"msweeney@onehousinggroup.co.uk","100 Chalk Farm Road","London ",,,,"NW1 8EH","Mr","Mick Sweeney","Y","V2","G1",,,
"Heather Juman / Inez Hough ","South","Orbit Group Limited","Yes","L4123",,18000031,,"Paul.tennant@orbit.org.uk","Garden Court","Harry Weston Road","Binley Business Park","Coventry",,"CV3 2SU","Mr","Paul Tennant","Y","V1","G2",,,
"Heather Juman / Inez Hough ","South","Orbit South Housing Association Limited","Yes","L4060",,,,"Paul.tennant@orbit.org.uk","Garden Court","Harry Weston Road","Binley Business Park","Coventry",,"CV3 2SU","Mr","Paul Tennant","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Origin Housing Limited","Yes","L0871",,,,"karen.wilson@origingroup.org.uk ","St Richards House","110 Eversholt St",,,"London","NW1 1BS","Ms","Karen Wilson","Y","V2","G1",,,
"Jonathan Goldstraw ","South","Spenhill ","Yes","NP0408","Yes",,,,"Tesco House","Shire Park","Kestrel Way","Welwyn Garden City",,"AL7 1GA",,,"N","#N/A","#N/A",,,
"TBC","TBC","P3","Yes","NP2092",,,,"lon&southeast@p3charity.org ","Eagle House","Cotmanhay Road","Ilkeston","Derbyshire",,"DE7 8HU","Mr","Mark Simms","N","#N/A","#N/A",,,
"Wren Laing","North West","Paddington Churches Housing Association Limited","No","LH0030",,18000047,,"neil.hadden@genesisha.org.uk ","Atelier House","64 Pratt Street","London",,,"NW1 0DL","Mr","Neil Hadden","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Pan African Refugee Housing Co-operative Limited","No","C3650",,,,"parhc@btconnect.com","49 St Pancras Way",,,,"London","NW1 0PX",,,"Y","#N/A","#N/A",,,
"Richard Cawser","North West","Paradigm Homes Charitable Housing Association Limited","Yes","LH4138",,,,"matthew.bailes@paradigmhousing.co.uk","1 Glory Park Avenue","Wooburn Green","Buckinghamshire",,,"HP10 0DF","Mr","Matthew Bailes","Y","#N/A","#N/A",,,
"Richard Cawser","North West","Paradigm Housing Group Limited","Yes","L4215",,18000034,,"matthew.bailes@paradigmhousing.co.uk","1 Glory Park Avenue","Wooburn Green","Buckinghamshire",,,"HP10 0DF","Mr","Matthew Bailes","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Paragon Community Housing Group Limited","Yes","L4480",,18000043,,"DKavi@paragonchg.co.uk","Paragon Community Housing Association","Case House ","85-89 High Street","Walton-on-Thames","Surrey","KT12 1DZ","Mr","Dilip Kavi","Y","V1","G1",,,
"TBC","TBC","Passage","Yes","NP2091",,,,"info@passage.org.uk ","St Vincent’s Centre","Carlisle Place",,"London ",,"SW1P 1NL","Mr","Mick Clarke","N","#N/A","#N/A",,,
"Judith Carlson","North West","Peabody Trust","Yes","L0014",,18000009,,"stephen.howlett@peabody.org.uk","45 Westminster Bridge Rd",,,,"London","SE1 7JB","Mr","Stephen Howlett","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Penge Churches","Yes","L1243",,,,"housing@pengechurchesha.org.uk ","99 Maple Road",,,"London ",,"SE20 8LN","Ms","Louise Barnden","Y","#N/A","#N/A",,,
"Janet Trench ","North East","Persimmon","Yes","NP0002",,18000070,,"jeff.fairburn@persimmonhomes.com","Persimmon House","Fulford","York",,,"YO19 4FE","Mr","Jeff Fairburn","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Phoenix Community Housing Association (Bellingham and Downham) Limited","Yes","L4505",,18000211,,"jim.ripley@phoenixch.org.uk","The Green Man, ","355 Bromley Road, ","London ",,,"SE6 2RP","Mr","Jim Ripley","Y","V2","G1",,,
"Peter Fletcher","North West","Places for People Group Limited","Yes","L4236",,18000036,,"David.Cowans@placesforpeople.co.uk","80 Cheapside","London",,,,"EC2V 6EE","Mr","David Cowans","Y","V1","G1",,,
"Peter Fletcher","North West","Places for People Homes Limited","Yes","L0659",,,,"David.Cowans@placesforpeople.co.uk","80 Cheapside","London",,,,"EC2V 6EE","Mr","David Cowans","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Places for People Individual Support Limited","Yes","LH3926",,,,"David.Cowans@placesforpeople.co.uk","80 Cheapside","London",,,,"EC2V 6EE","Mr","David Cowans","Y","#N/A","#N/A",,,
"Wren Laing","North West","Pocket Living ","Yes","NP0160",,,,"marc@pocketliving.com","27 Margaret Street",,,,"London","W1W 8RY","Mr","Marc Vlessing","N","#N/A","#N/A",,,
"Ray Everingham","North East","Poplar HARCA Limited","Yes","L4170",,18000033,,"steve.stride@poplarharca.co.uk","167a East India Dock Road"," ",," ","London","E14 0EA","Mr","Steve Stride","Y","V1","G1",,,
"Peter Fletcher","North West","Presentation","No","L1558",,,,"KDavies@nhhg.org.uk","Bruce Kenrick House","2 Killick Street","London",,,"N1 9FL","Ms","Kate Davies","N","#N/A","#N/A",,,
"Janet Trench ","North East","Providence Row Housing Association","Yes","L0695",,,,"fhumphrey@PRHA.net","Providence House","458 Bethnal Green Road","London",,,"E2 0EA","Ms","Fiona Humphrey","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","Sutton HS","Yes","L0721","Yes",,,"info@shsoc.org.uk","Pat Shaw House","13-19 Ventnor Road","Sutton ",,,"SM2 6AQ","Mr","Chris Turton","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Swan Lane Co-Op","Yes","C3738","Yes",,,,"7 - 14 Great Dover Street","London",,,,"SE1 4YR","Mr","John Synnuck","Y","#N/A","#N/A",,,"Unknown"
"Jonathan Goldstraw ","South","Raven Housing Trust Limited","Yes","L4334",,,,"raven@ravenht.org.uk ","Raven House","29 Linkfield Lane","Redhill","Surrey",,"RH1 1SS","Mr","Jonathan Higgs","Y","V1","G1",,,
"#N/A","#N/A","Redrow Homes","Yes","NP0164",,,,"john.tutte@redrow.co.uk","Redrow House","St. David's Park","Ewloe","Flintshire",,"CH5 3RX","Mr","John Tutte","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Regenter","Yes","NP0056",,,,"jim.saunders@pinnacle-regen.com","6 St Andrew Street",,,,"London","EC4A 3AE","Mr","Jim Saunders","N","#N/A","#N/A",,,
"Peter Fletcher","North West","Richmond Housing Partnership Limited","Yes","L4279",,,,"Geeta_Nanda@tvha.co.uk ","8 Waldegrave Road",,,,"Teddington","TW11 8GT","Mr","Geeta Nanda","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Richmond-Upon-Thames Churches Housing Trust Ltd","Yes","L0310",,,,"DKavi@paragonchg.co.uk","Paragon Community Housing Association","Case House ","85-89 High Street","Walton-on-Thames","Surrey","KT12 1DZ","Mr","Dilip Kavi","Y","#N/A","#N/A",,,
